Post Number,Content,Reactions,Comments,Media Type,Image URL,Video URL,Article URL
1,"🧧🐍 NYU Shanghai wishes you a bright and prosperous Year of the Snake! May this year bring wisdom, strength, and new adventures to everyone in our global community. 新年快乐! 🌟",58,1,Image,https://media.licdn.com/dms/image/v2/D5622AQH6QieUhxbhQw/feedshare-shrink_800/B56ZSszqvTGUAg-/0/1738066014686?e=1741824000&v=beta&t=0ddY-ZWajnGbhCzaTSelx4eHozBSK50tWb17LVl6_ho,No videos,No links
2,"145 study away students will be joining us for the Spring 2025 semester, and some have even arrived just in time to celebrate   hashtag # ChineseNewYear !   They joined current students who are staying in the residence halls over the Chinese New Year break to make dumplings, try traditional Chinese paper cutting, and learn how to write couplets and blessings--calligraphy style.",26,0,Image,https://media.licdn.com/dms/image/v2/D5622AQGxzTysS3No1w/feedshare-shrink_800/B56ZSsxEmNHEAg-/0/1738065337023?e=1741824000&v=beta&t=H68aPaVbpFAmdOHTEFcZV02pLmmWJ_ghjS6b1C5khRI; https://media.licdn.com/dms/image/v2/D5622AQF85VWFsVDlWw/feedshare-shrink_800/B56ZSsxEnIHQAk-/0/1738065338657?e=1741824000&v=beta&t=ekMoERsxKHXK7VkMe5T0MLo3AG5qYpADzaF4xxgig1s; https://media.licdn.com/dms/image/v2/D5622AQHhhYnpfEgQxQ/feedshare-shrink_800/B56ZSsxEm7GsAg-/0/1738065338287?e=1741824000&v=beta&t=92cPKFV0Rsm3UkFuuHnWJ5OM5NViIygjcdKPiQgJOEo; https://media.licdn.com/dms/image/v2/D5622AQHFoDp1C1-yHA/feedshare-shrink_800/B56ZSsxEm5HQAg-/0/1738065338562?e=1741824000&v=beta&t=bKpX1lTDfpuzy9MyadI9Z0GtVWfIrfl__iWMt7nZS8w,No videos,https://www.linkedin.com/search/results/all/?keywords=%23chinesenewyear&origin=HASH_TAG_FROM_FEED
3,"In a unique workshop inspired by the NYU Shanghai course Good Death: China and Comparative Perspectives taught by Assistant Professor of Global China Studies Zhang Liangliang, students and faculty visited Shanghai Fushou Garden to reflect on life’s profound questions. Through meditation walks, honoring influential figures, and posting their wishes, participants discovered new perspectives on living meaningfully and embracing the present. 🌼",17,0,Image,https://media.licdn.com/dms/image/v2/D5622AQGH8ZdcnMvY1g/feedshare-shrink_800/B56ZPOVQ1BGkAk-/0/1734333522552?e=1741824000&v=beta&t=RHU5nTOeTrGWHAi_ZL9QovzUybCT8zilRLcPxK3k_bU; https://media.licdn.com/dms/image/v2/D5622AQHp-Ke2k99sCQ/feedshare-shrink_800/B56ZPOVQ1aG4Ag-/0/1734333522679?e=1741824000&v=beta&t=FJ5c11RSpwttQ-jKrnDWWzzVK6BnTF9ENt9eHgrUX9U; https://media.licdn.com/dms/image/v2/D5622AQHUwtsUU1ZoOg/feedshare-shrink_800/B56ZPOVQ0jGsAg-/0/1734333517693?e=1741824000&v=beta&t=dIvVaoPTIzhpfq6FUbHrSz2I58OvUF3Syz1HhAkVjE8; https://media.licdn.com/dms/image/v2/D5622AQEdW5EiunEmIw/feedshare-shrink_800/B56ZPOVQ0uHoAg-/0/1734333522709?e=1741824000&v=beta&t=AzyoxzY9wOIdIR359nkV3iQllBaAvGHbqooX98F766c,No videos,No links
4,🎉 Congratulations to NYU Shanghai Vice Chancellor Jeffrey Lehman on his election as Chair of the Board of Governors of   The American Chamber of Commerce in Shanghai (AmCham Shanghai) ! 👏,48,0,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQHvRM7iyrI4tw/articleshare-shrink_480/articleshare-shrink_480/0/1737458160760?e=1739336400&v=beta&t=zkNeh4vMCgB0khMAfjEHbEBe86zpnQfnJPVCa2bxj3M,No videos,https://www.linkedin.com/company/american-chamber-of-commerce-in-shanghai/
5,We welcomed admitted students and their families in Shanghai and NYC! NYU Shanghai will release Early Decision II acceptances on February 14 and Regular Decision acceptances on April 1.,15,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQEhb9VQoHd7Xg/articleshare-shrink_480/articleshare-shrink_480/0/1737367533346?e=1739336400&v=beta&t=SuwQin8KAVAuIdNi1AXzuZ0_AP5EPJNWyRLC6GsqUZc,No videos,No links
6,"42 faculty from   New York University ,   New York University Abu Dhabi , and NYU Shanghai came together at the inaugural Serendipity Research Confluence to spark collaborations in AI, healthcare, urban science, and more. From ""scientist speed dating"" to drafting global research projects, this event is planting seeds for innovation across campuses.",22,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQHg4zjKmsAcKg/articleshare-shrink_480/articleshare-shrink_480/0/1736850053159?e=1739336400&v=beta&t=AXcyalyGN3WLDJShwSvJ0xhsS0QHnZO8zUxKJsuHN9Y,No videos,https://www.linkedin.com/company/new-york-university-abu-dhabi/; https://www.linkedin.com/company/new-york-university/
7,"Our 2024 Fall Career Fair featured: ➕200 full-time job and internship offers ➕50 companies from over 15 industries 🤝 Tons of excited NYU Shanghai students looking for new opportunities! Many thanks to NYU Shanghai Center for Career Development, Lujiazui Financial City, and SPSP Venture Capital for hosting this event on campus.",36,2,Image,https://media.licdn.com/dms/image/v2/D5622AQFdxrMY5K_lXg/feedshare-shrink_800/feedshare-shrink_800/0/1730187292432?e=1741824000&v=beta&t=wcxbb3-9c1pUn5z5ljbT0XvJcuxeux30h7KG9qk7S6M; https://media.licdn.com/dms/image/v2/D5622AQGJotoUHulbAA/feedshare-shrink_800/feedshare-shrink_800/0/1730187290767?e=1741824000&v=beta&t=iMpMqLKlXk_aHqR3Q5UQ9ko4BMQZwGkRigeJ6iDHRQg; https://media.licdn.com/dms/image/v2/D5622AQGMqz6zE6K6CQ/feedshare-shrink_800/feedshare-shrink_800/0/1730187292092?e=1741824000&v=beta&t=yqqFUzUJ3wJnPlrS9FwNhw8KWlTSnf7FVybujg7DENQ; https://media.licdn.com/dms/image/v2/D5622AQFBRqP7APR1gA/feedshare-shrink_800/feedshare-shrink_800/0/1730187290893?e=1741824000&v=beta&t=yaNWDB4-P9US1m4Ek9vxWPdEjelMM7uhxosTLKTaAt0,No videos,No links
8,"In January 2025, Noel Joyce's Project Mjolnir was named the Most Innovative Product of the Year by Singletrack World, a magazine focusing on mountain biking. He is currently working on an adaptive mountain bike for children.",7,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQEdetk08z-Chg/articleshare-shrink_480/articleshare-shrink_480/0/1711357082240?e=1739336400&v=beta&t=7e0MKD5BKAMU5M33JnbdebAMWlUcBu8PCb1MazAqUdM,No videos,No links
9,"Thank you to our amazing students, faculty, and staff for making NYU Shanghai a thriving community of diverse perspectives and ideas over the past 12 years! Cheers to many more years of learning, growing, and leading together.   hashtag # HappyBirthday   hashtag # NYUShanghai",99,2,Image,https://media.licdn.com/dms/image/v2/D5622AQEGewBM87Ef2w/feedshare-shrink_800/feedshare-shrink_800/0/1729049133583?e=1741824000&v=beta&t=U3rUx3L6Mf6K7M-hUkA44a_rdpuiR-IbnviKAO-EwnU; https://media.licdn.com/dms/image/v2/D5622AQF5qlUHLkCKrA/feedshare-shrink_800/feedshare-shrink_800/0/1729049134552?e=1741824000&v=beta&t=S4S63RG0MOWmklhzVs-buBCjftq7ZtwQHarQvkwq1Ss,No videos,https://www.linkedin.com/search/results/all/?keywords=%23nyushanghai&origin=HASH_TAG_FROM_FEED; https://www.linkedin.com/search/results/all/?keywords=%23happybirthday&origin=HASH_TAG_FROM_FEED
10,"Every name that appears in NYU Shanghai’s interactive installation, “The Box,” tells a story of generosity and connection to the university. Join Angelina Ye Lin ’18 as she returns to campus to find her name on the donor honor roll—a lasting mark in NYU Shanghai’s story of growth.",35,1,Video,No images,https://dms.licdn.com/playlist/vid/dynamic/D5605AQHuNjYB58z2cw/BAgx0RzerNwIm_XIYLk?e=1739336400&v=beta&t=wVLV5Un9ry69miQEoKKGoptZ1MfWvy1i8jGANqK551U,No links
